uid,year,data_year,country,area,fsw_sizeestimate_region,area.notes,method,PopSize,PopSize_notes,Prevalence,pse,type.of.uncertainty.measure,lower.uncertainty.measure,upper.uncertainty.measure,sample_size,requirement,notes,link,public,UID,title,ISO,adm1_geocode,iso_geocode
Malawi4,2016,2014,Malawi,District,Mzimba,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,738,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Mzimba,MWI
Malawi4,2016,2014,Malawi,District,Mzimba,NR,Averaged_methods,NR,,NR,770,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Mzimba,MWI
Malawi2,2014,2014,Malawi,District,Mzuzu,"sites were visited when they are at their peak of client-seeking activity for the first capture, and revisited at the same time two weeks later ",CRC,52950,,NR,317,95% confidence Interval,277,357,1069,"Women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days: a) Bar-based SW: women who are paid by bar owners to work as barmaids, but who are also expected to perform sex work and pick up clients at certain times. b) Venue-based SW: women who travel to areas more advantageous to performing sex work. They go into bars, bottle stores, hotels, clubs and other venues to pick up clients. c) Street-corner SW: women who stand by the roadside at the entrance of hotels, and other major entertainment places to pick up clients.",,http://www.nsomalawi.mw/index.php?option=com_content&view=article&id=218:malawi-biological-and-behavioural-surveillance-survey-bbss-2013-2014&catid=8:reports,1,REPORTMAL13,"Malawi Biological and Behavioural Surveillance Survey, Size Estimation Report",MWI,Mzimba,MWI
Malawi2,2014,2014,Malawi,District,Mzuzu,enumerate all the FSW from the selected sites in the area.,Enumeration,52950,,NR,690,NR,NR,NR,1069,"Women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days: a) Bar-based SW: women who are paid by bar owners to work as barmaids, but who are also expected to perform sex work and pick up clients at certain times. b) Venue-based SW: women who travel to areas more advantageous to performing sex work. They go into bars, bottle stores, hotels, clubs and other venues to pick up clients. c) Street-corner SW: women who stand by the roadside at the entrance of hotels, and other major entertainment places to pick up clients.",,http://www.nsomalawi.mw/index.php?option=com_content&view=article&id=218:malawi-biological-and-behavioural-surveillance-survey-bbss-2013-2014&catid=8:reports,1,REPORTMAL13,"Malawi Biological and Behavioural Surveillance Survey, Size Estimation Report",MWI,Mzimba,MWI
Malawi5,2016,,Malawi,District,Mzuzu,,Enumeration,,,,867,,,,,,,,0,,Reported by the country through the GARPR process,MWI,Mzimba,MWI
Malawi4,2016,2014,Malawi,City,Mzuzu City,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,504,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Mzimba,MWI
Malawi4,2016,2014,Malawi,City,Mzuzu City,NR,Averaged_methods,NR,,NR,526,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Mzimba,MWI
Malawi2,2014,2014,Malawi,National,National,enumerate all the FSW from the selected sites in the area.,Enumeration,3738409,,NR,14505,NR,NR,NR,1069,"Women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days: a) Bar-based SW: women who are paid by bar owners to work as barmaids, but who are also expected to perform sex work and pick up clients at certain times. b) Venue-based SW: women who travel to areas more advantageous to performing sex work. They go into bars, bottle stores, hotels, clubs and other venues to pick up clients. c) Street-corner SW: women who stand by the roadside at the entrance of hotels, and other major entertainment places to pick up clients.",,http://www.nsomalawi.mw/index.php?option=com_content&view=article&id=218:malawi-biological-and-behavioural-surveillance-survey-bbss-2013-2014&catid=8:reports,1,REPORTMAL13,"Malawi Biological and Behavioural Surveillance Survey, Size Estimation Report",MWI,Nkhotakota,MWI
Malawi6,2017,,Malawi,National,National,,,,,,31200,,,,,,SW (unclear if FSW or general SW),,0,,Reported by the country through the GARPR process 2017,MWI,Nkhotakota,MWI
Malawi4,2016,2014,Malawi,District,Neno,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,130,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Mwanza,MWI
Malawi4,2016,2014,Malawi,District,Neno,NR,Averaged_methods,NR,,NR,136,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Mwanza,MWI
Malawi4,2016,2014,Malawi,District,Nkhatabay,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,155,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Nkhata Bay,MWI
Malawi4,2016,2014,Malawi,District,Nkhatabay,NR,Averaged_methods,NR,,NR,161,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Nkhata Bay,MWI
Malawi2,2014,2014,Malawi,District,Nkhotakota,"sites were visited when they are at their peak of client-seeking activity for the first capture, and revisited at the same time two weeks later ",CRC,81491,,NR,297,95% confidence Interval,255,340,1069,"Women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days: a) Bar-based SW: women who are paid by bar owners to work as barmaids, but who are also expected to perform sex work and pick up clients at certain times. b) Venue-based SW: women who travel to areas more advantageous to performing sex work. They go into bars, bottle stores, hotels, clubs and other venues to pick up clients. c) Street-corner SW: women who stand by the roadside at the entrance of hotels, and other major entertainment places to pick up clients.",,http://www.nsomalawi.mw/index.php?option=com_content&view=article&id=218:malawi-biological-and-behavioural-surveillance-survey-bbss-2013-2014&catid=8:reports,1,REPORTMAL13,"Malawi Biological and Behavioural Surveillance Survey, Size Estimation Report",MWI,Nkhotakota,MWI
Malawi4,2016,2014,Malawi,District,Nkhotakota,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,311,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Nkhotakota,MWI
Malawi2,2014,2014,Malawi,District,Nkhotakota,enumerate all the FSW from the selected sites in the area.,Enumeration,81491,,NR,325,NR,NR,NR,1069,"Women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days: a) Bar-based SW: women who are paid by bar owners to work as barmaids, but who are also expected to perform sex work and pick up clients at certain times. b) Venue-based SW: women who travel to areas more advantageous to performing sex work. They go into bars, bottle stores, hotels, clubs and other venues to pick up clients. c) Street-corner SW: women who stand by the roadside at the entrance of hotels, and other major entertainment places to pick up clients.",,http://www.nsomalawi.mw/index.php?option=com_content&view=article&id=218:malawi-biological-and-behavioural-surveillance-survey-bbss-2013-2014&catid=8:reports,1,REPORTMAL13,"Malawi Biological and Behavioural Surveillance Survey, Size Estimation Report",MWI,Nkhotakota,MWI
Malawi4,2016,2014,Malawi,District,Nkhotakota,NR,Averaged_methods,NR,,NR,325,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Nkhotakota,MWI
Malawi2,2014,2014,Malawi,District,Nsanje,"sites were visited when they are at their peak of client-seeking activity for the first capture, and revisited at the same time two weeks later ",CRC,61430,,NR,153,95% confidence Interval,133,173,1069,"Women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days: a) Bar-based SW: women who are paid by bar owners to work as barmaids, but who are also expected to perform sex work and pick up clients at certain times. b) Venue-based SW: women who travel to areas more advantageous to performing sex work. They go into bars, bottle stores, hotels, clubs and other venues to pick up clients. c) Street-corner SW: women who stand by the roadside at the entrance of hotels, and other major entertainment places to pick up clients.",,http://www.nsomalawi.mw/index.php?option=com_content&view=article&id=218:malawi-biological-and-behavioural-surveillance-survey-bbss-2013-2014&catid=8:reports,1,REPORTMAL13,"Malawi Biological and Behavioural Surveillance Survey, Size Estimation Report",MWI,Nsanje,MWI
Malawi4,2016,2014,Malawi,District,Nsanje,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,199,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Nsanje,MWI
Malawi4,2016,2014,Malawi,District,Nsanje,NR,Averaged_methods,NR,,NR,207,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Nsanje,MWI
Malawi2,2014,2014,Malawi,District,Nsanje,enumerate all the FSW from the selected sites in the area.,Enumeration,61430,,NR,244,NR,NR,NR,1069,"Women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days: a) Bar-based SW: women who are paid by bar owners to work as barmaids, but who are also expected to perform sex work and pick up clients at certain times. b) Venue-based SW: women who travel to areas more advantageous to performing sex work. They go into bars, bottle stores, hotels, clubs and other venues to pick up clients. c) Street-corner SW: women who stand by the roadside at the entrance of hotels, and other major entertainment places to pick up clients.",,http://www.nsomalawi.mw/index.php?option=com_content&view=article&id=218:malawi-biological-and-behavioural-surveillance-survey-bbss-2013-2014&catid=8:reports,1,REPORTMAL13,"Malawi Biological and Behavioural Surveillance Survey, Size Estimation Report",MWI,Nsanje,MWI
Malawi1,2011,2011,Malawi,District,Ntcheu,researchers visited all mapped and randomly sampled sites to capture and recapture FSW,CRC,NR,,0.006306,216,95% confidence Interval,194,237,,"A female aged between 16-49 years, who has received money in exchange for sex either regularly or occasionally up to 12 months prior to the survey, and who may or may not consciously define those activities as income generating.",,https://www.hivsharespace.net/sites/default/files/resources/6.%202011%20Final%20Malawi%20Sex%20Work%20Report%20FPAM.pdf,1,REPORTMAL11,"Counting the Uncatchables: Report of the Situation Analysis of the Magnitude, Behavioural Patterns, Contributing Factors, Current Interventions and Impact of Sex Work in HIV Prevention in Malawi",MWI,Ntcheu,MWI
Malawi4,2016,2014,Malawi,District,Ntcheu,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,437,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Ntcheu,MWI
Malawi4,2016,2014,Malawi,District,Ntcheu,NR,Averaged_methods,NR,,NR,456,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Ntcheu,MWI
Malawi4,2016,2014,Malawi,District,Ntchisi,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,220,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Ntchisi,MWI
Malawi4,2016,2014,Malawi,District,Ntchisi,NR,Averaged_methods,NR,,NR,230,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Ntchisi,MWI
Malawi4,2016,2014,Malawi,District,Phalombe,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,288,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Phalombe,MWI
Malawi4,2016,2014,Malawi,District,Phalombe,NR,Averaged_methods,NR,,NR,301,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Phalombe,MWI
Malawi4,2016,2014,Malawi,District,Rumphi,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,174,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Rumphi,MWI
Malawi4,2016,2014,Malawi,District,Rumphi,NR,Averaged_methods,NR,,NR,182,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Rumphi,MWI
Malawi4,2016,2014,Malawi,District,Salima,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,235,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Salima,MWI
Malawi4,2016,2014,Malawi,District,Salima,NR,Averaged_methods,NR,,NR,245,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Salima,MWI
Malawi1,2011,2011,Malawi,District,Salima,researchers visited all mapped and randomly sampled sites to capture and recapture FSW,CRC,NR,,0.008733,437,95% confidence Interval,416,459,,"A female aged between 16-49 years, who has received money in exchange for sex either regularly or occasionally up to 12 months prior to the survey, and who may or may not consciously define those activities as income generating.",,https://www.hivsharespace.net/sites/default/files/resources/6.%202011%20Final%20Malawi%20Sex%20Work%20Report%20FPAM.pdf,1,REPORTMAL11,"Counting the Uncatchables: Report of the Situation Analysis of the Magnitude, Behavioural Patterns, Contributing Factors, Current Interventions and Impact of Sex Work in HIV Prevention in Malawi",MWI,Salima,MWI
Malawi2,2014,2014,Malawi,District,Thyolo,enumerate all the FSW from the selected sites in the area.,Enumeration,145476,,NR,365,NR,NR,NR,1069,"Women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days: a) Bar-based SW: women who are paid by bar owners to work as barmaids, but who are also expected to perform sex work and pick up clients at certain times. b) Venue-based SW: women who travel to areas more advantageous to performing sex work. They go into bars, bottle stores, hotels, clubs and other venues to pick up clients. c) Street-corner SW: women who stand by the roadside at the entrance of hotels, and other major entertainment places to pick up clients.",,http://www.nsomalawi.mw/index.php?option=com_content&view=article&id=218:malawi-biological-and-behavioural-surveillance-survey-bbss-2013-2014&catid=8:reports,1,REPORTMAL13,"Malawi Biological and Behavioural Surveillance Survey, Size Estimation Report",MWI,Thyolo,MWI
Malawi4,2016,2014,Malawi,District,Thyolo,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,460,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Thyolo,MWI
Malawi4,2016,2014,Malawi,District,Thyolo,NR,Averaged_methods,NR,,NR,480,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Thyolo,MWI
Malawi2,2014,2014,Malawi,District,Thyolo,"sites were visited when they are at their peak of client-seeking activity for the first capture, and revisited at the same time two weeks later ",CRC,145476,,NR,554,95% confidence Interval,517,591,1069,"Women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days: a) Bar-based SW: women who are paid by bar owners to work as barmaids, but who are also expected to perform sex work and pick up clients at certain times. b) Venue-based SW: women who travel to areas more advantageous to performing sex work. They go into bars, bottle stores, hotels, clubs and other venues to pick up clients. c) Street-corner SW: women who stand by the roadside at the entrance of hotels, and other major entertainment places to pick up clients.",,http://www.nsomalawi.mw/index.php?option=com_content&view=article&id=218:malawi-biological-and-behavioural-surveillance-survey-bbss-2013-2014&catid=8:reports,1,REPORTMAL13,"Malawi Biological and Behavioural Surveillance Survey, Size Estimation Report",MWI,Thyolo,MWI
Malawi1,2011,2011,Malawi,District,Thyolo,researchers visited all mapped and randomly sampled sites to capture and recapture FSW,CRC,NR,,0.007028,563,95% confidence Interval,524,602,,"A female aged between 16-49 years, who has received money in exchange for sex either regularly or occasionally up to 12 months prior to the survey, and who may or may not consciously define those activities as income generating.",,https://www.hivsharespace.net/sites/default/files/resources/6.%202011%20Final%20Malawi%20Sex%20Work%20Report%20FPAM.pdf,1,REPORTMAL11,"Counting the Uncatchables: Report of the Situation Analysis of the Magnitude, Behavioural Patterns, Contributing Factors, Current Interventions and Impact of Sex Work in HIV Prevention in Malawi",MWI,Thyolo,MWI
Malawi5,2016,,Malawi,District,Zomba,,Enumeration,,,,1135,,,,,,,,0,,Reported by the country through the GARPR process,MWI,Zomba,MWI
Malawi4,2016,2014,Malawi,City,Zomba City,this is the average number of estimates using CRC and enumeration methods.,Average_CRM_Enumeration,NR,,NR,254,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Zomba,MWI
Malawi4,2016,2014,Malawi,City,Zomba City,NR,Averaged_methods,NR,,NR,265,NR,NR,NR,,Female sex workers are defined as women or girls aged 18 years or more who have exchanged sex for money to earn a living at least once in the last 30 days. ,not sure how this is calculated,http://www.aidsinfoonline.org/kpatlas/document/MWI/MWI_2016_PSE_FSW.pdf,1,,FSW district pop estimation (based on IBBS 2013/2014),MWI,Zomba,MWI
Mali2,2015,,Mali,Region,Bamako,,NR,,,,7027,,,,,,"Table includes mapped, unmapped, and combined (total) area population size estimates. These are the ""total area"" size estimates.",,2,,Programmatic Mapping of Key populations in Mali / Reported by the country through the GARPR process 2015 / Reported by the country through the GARPR process 2016,MLI,Bamako,MLI
Mali2,2015,,Mali,Region,Gao,,NR,,,,991,,,,,,"Table includes mapped, unmapped, and combined (total) area population size estimates. These are the ""total area"" size estimates.",,2,,Programmatic Mapping of Key populations in Mali / Reported by the country through the GARPR process 2015 / Reported by the country through the GARPR process 2016,MLI,Gao,MLI
Mali2,2015,,Mali,Region,Kayes,,NR,,,,4942,,,,,,"Table includes mapped, unmapped, and combined (total) area population size estimates. These are the ""total area"" size estimates.",,2,,Programmatic Mapping of Key populations in Mali / Reported by the country through the GARPR process 2015 / Reported by the country through the GARPR process 2016,MLI,Kayes,MLI
Mali2,2015,,Mali,Region,Kidal,,NR,,,,101,,,,,,"Table includes mapped, unmapped, and combined (total) area population size estimates. These are the ""total area"" size estimates.",,2,,Programmatic Mapping of Key populations in Mali / Reported by the country through the GARPR process 2015 / Reported by the country through the GARPR process 2016,MLI,Kidal,MLI
Mali2,2015,,Mali,Region,Koulikoro,,NR,,,,5437,,,,,,"Table includes mapped, unmapped, and combined (total) area population size estimates. These are the ""total area"" size estimates.",,2,,Programmatic Mapping of Key populations in Mali / Reported by the country through the GARPR process 2015 / Reported by the country through the GARPR process 2016,MLI,Koulikoro,MLI
Mali1,2010,,Mali,National,Mali,,NR,,,,35612,,,,,"FSW: Any female who exchanges sexual activity with a man in return for money or benefits, irrespective of site of operation; MSM: Any male who has sex with other men as a matter of preference or practice, regardless of their sexual identity or sexual orientation, and irrespective of whether or not they also have sex with women.",,,2,,Programmatic Mapping of Key populations in Mali,MLI,NA,NA
Mali2,2015,,Mali,National,Mali,,NR,,,,35903,,,,,,"Table includes mapped, unmapped, and combined (total) area population size estimates. These are the ""total area"" size estimates.",,2,,Programmatic Mapping of Key populations in Mali / Reported by the country through the GARPR process 2015 / Reported by the country through the GARPR process 2016,MLI,NA,NA
Mali2,2015,,Mali,Region,Mopti,,NR,,,,4975,,,,,,"Table includes mapped, unmapped, and combined (total) area population size estimates. These are the ""total area"" size estimates.",,2,,Programmatic Mapping of Key populations in Mali / Reported by the country through the GARPR process 2015 / Reported by the country through the GARPR process 2016,MLI,Mopti,MLI
Mali2,2015,,Mali,Region,Ségou,,NR,,,,5236,,,,,,"Table includes mapped, unmapped, and combined (total) area population size estimates. These are the ""total area"" size estimates.",,2,,Programmatic Mapping of Key populations in Mali / Reported by the country through the GARPR process 2015 / Reported by the country through the GARPR process 2016,MLI,Ségou,MLI
Mali2,2015,,Mali,Region,Sikasso,,NR,,,,5819,,,,,,"Table includes mapped, unmapped, and combined (total) area population size estimates. These are the ""total area"" size estimates.",,2,,Programmatic Mapping of Key populations in Mali / Reported by the country through the GARPR process 2015 / Reported by the country through the GARPR process 2016,MLI,Sikasso,MLI
Mali2,2015,,Mali,Region,Tombouctou,,NR,,,,1218,,,,,,"Table includes mapped, unmapped, and combined (total) area population size estimates. These are the ""total area"" size estimates.",,2,,Programmatic Mapping of Key populations in Mali / Reported by the country through the GARPR process 2015 / Reported by the country through the GARPR process 2016,MLI,Timbuktu,MLI
Mauritania1,2014,,Mauritania,City,"Nouakchott, Nouadhibou and Rosso",,,,,,315,,,,,,,,0,,Reported by the country through the GARPR process,MRT,Trarza,MRT
Mozambique2,2012,2012,Mozambique,City,Beira,NR,Unique event multiplier,136041,,0.022,2955,NR,NR,NR,411,"(1) To be a women aged of 15 years or older. (2) To have had sex for money in the past 6 months. (3) To live, socialize or work in the cities of the study. (4) To have a valid recruitment coupon. (5) To consent to participate in the study",the paper is in spanish ,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/ibbs-mts-relatorio-final.pdf,1,REPORTMOZ12,"Inquérito Integrado Biológico e Comportamental entre Mulheres Trabalhadoras de Sexo, Moçambique 2011–2012 Relatório Final",MOZ,Sofala,MOZ
Mozambique2,2012,2012,Mozambique,City,Beira,NR,Median estimate,136041,,0.05,6802,NR,NR,NR,411,"(1) To be a women aged of 15 years or older. (2) To have had sex for money in the past 6 months. (3) To live, socialize or work in the cities of the study. (4) To have a valid recruitment coupon. (5) To consent to participate in the study",the paper is in spanish ,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/ibbs-mts-relatorio-final.pdf,1,REPORTMOZ12,"Inquérito Integrado Biológico e Comportamental entre Mulheres Trabalhadoras de Sexo, Moçambique 2011–2012 Relatório Final",MOZ,Sofala,MOZ
Mozambique2,2012,2012,Mozambique,City,Beira,NR,Unique object multiplier,136041,,0.075,10152,NR,NR,NR,411,"(1) To be a women aged of 15 years or older. (2) To have had sex for money in the past 6 months. (3) To live, socialize or work in the cities of the study. (4) To have a valid recruitment coupon. (5) To consent to participate in the study",the paper is in spanish ,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/ibbs-mts-relatorio-final.pdf,1,REPORTMOZ12,"Inquérito Integrado Biológico e Comportamental entre Mulheres Trabalhadoras de Sexo, Moçambique 2011–2012 Relatório Final",MOZ,Sofala,MOZ
Mozambique2,2012,2012,Mozambique,Town,Maputo town (including Matola),NR,Unique event multiplier,662809,,0.004,2859,NR,NR,NR,400,"(1) To be a women aged of 15 years or older. (2) To have had sex for money in the past 6 months. (3) To live, socialize or work in the cities of the study. (4) To have a valid recruitment coupon. (5) To consent to participate in the study",the paper is in spanish ,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/ibbs-mts-relatorio-final.pdf,1,REPORTMOZ12,"Inquérito Integrado Biológico e Comportamental entre Mulheres Trabalhadoras de Sexo, Moçambique 2011–2012 Relatório Final",MOZ,NA,NA
Mozambique2,2012,2012,Mozambique,Town,Maputo town (including Matola),NR,Unique object multiplier,662809,,0.013,8568,NR,NR,NR,400,"(1) To be a women aged of 15 years or older. (2) To have had sex for money in the past 6 months. (3) To live, socialize or work in the cities of the study. (4) To have a valid recruitment coupon. (5) To consent to participate in the study",the paper is in spanish ,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/ibbs-mts-relatorio-final.pdf,1,REPORTMOZ12,"Inquérito Integrado Biológico e Comportamental entre Mulheres Trabalhadoras de Sexo, Moçambique 2011–2012 Relatório Final",MOZ,NA,NA
Mozambique2,2012,2012,Mozambique,Town,Maputo town (including Matola),NR,Best size estimate,662809,,0.02,13554,NR,NR,NR,400,"(1) To be a women aged of 15 years or older. (2) To have had sex for money in the past 6 months. (3) To live, socialize or work in the cities of the study. (4) To have a valid recruitment coupon. (5) To consent to participate in the study",the paper is in spanish ,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/ibbs-mts-relatorio-final.pdf,1,REPORTMOZ12,"Inquérito Integrado Biológico e Comportamental entre Mulheres Trabalhadoras de Sexo, Moçambique 2011–2012 Relatório Final",MOZ,NA,NA
